route,free_flow,travel_time,time stamp
"""ORE217 SB SW Walker Rd TO 99W""","""6 min""","""10 min""",4/23/2024 14:00
"""EB""","""EB""","""EB""",4/23/2024 14:00
"""ORE569 EB NW Expressway TO I-5""","""6 min""","""6 min""",4/23/2024 14:00
"""ORE569 EB NW Expressway TO Delta""","""3 min""","""3 min""",4/23/2024 14:00
"""WB""","""WB""","""WB""",4/23/2024 14:00
"""ORE569 WB I-5 TO W 11th / OR126""","""10 min""","""11 min""",4/23/2024 14:00
"""ORE569 WB I-5 TO River Rd""","""4 min""","""4 min""",4/23/2024 14:00
null,null,null,4/23/2024 14:00
"""ORE99W at SW Durham Rd TO ORE217 via OR99W""","""6 min""",null,4/23/2024 14:00
"""ORE99W at SW Durham Rd TO I-5 SB Exit 291 via Durham Rd (Wash County)""","""6 min""",null,4/23/2024 14:00
"""ORE99W at SW Durham Rd TO I-5 via OR99W""","""6 min""",null,4/23/2024 14:00
"""ORE99W at SW Durham Rd TO I-5 NB Exit 291 via Durham Rd (Wash County)""","""6 min""",null,4/23/2024 14:00
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via OR99W (Washington County)""","""11 min""",null,4/23/2024 14:00
"""ORE99W at SW Tualatin Sherwood Rd TO Scholls Ferry Rd via Roy Rogers Rd (Wash County)""","""6 min""",null,4/23/2024 14:00
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via Tualatin Sherwood Rd (Washington County)""","""7 min""",null,4/23/2024 14:00
"""ORE99W at SW Tualatin Sherwood Rd TO ORE217 via OR99W (Washington County)""","""9 min""",null,4/23/2024 14:00
"""ORE99W NB Dundee TO ORE99W via OR18""","""7 min""","""11 min""",4/23/2024 14:00
"""ORE99W NB Dundee TO ORE99W via OR99W North of Newberg""","""8 min""","""11 min""",4/23/2024 14:00
"""ORE99W SB Newberg TO ORE99W via OR18""","""7 min""","""15 min""",4/23/2024 14:00
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""14 min""",4/23/2024 14:00
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE99W via Roy Rogers Rd (Washington County)""","""6 min""",null,4/23/2024 14:00
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE217 via Scholls Ferry Rd (Washington County)""","""6 min""",null,4/23/2024 14:00
"""TV Hwy SW Cornelius Pass Rd TO US26 EB""","""7 min""",null,4/23/2024 14:00
"""TV Hwy SW Cornelius Pass Rd TO ORE217 NB""","""8 min""",null,4/23/2024 14:00
"""EB""","""EB""","""EB""",4/23/2024 14:00
"""US26 EB Cedar Hills Blvd TO I-405""","""9 min""","""13 min""",4/23/2024 14:00
"""US26 EB Cedar Hills Blvd TO I-5 via ORE217 SB""","""10 min""","""10 min""",4/23/2024 14:00
"""US26 EB NW 185th Ave TO ORE217""","""7 min""","""7 min""",4/23/2024 14:00
